X;run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
170;170;1900;1,0000;0,97999999999999998;0,02000000000000000;0,5678000000000000;0,3194920447627240;0,1;1;10;1;0;0,0;1,0;10;15;100;200;0,1500000000000000;0,01
173;173;1500;1,0000;0,98785714285714299;0,01214285714285710;0,7547826086956519;0,2670098664369980;0,1;1;10;1;0;0,0;1,0;10;15;150;200;0,1000000000000000;0,01
176;176;1500;1,0000;0,98450000000000004;0,01550000000000010;0,6876923076923080;0,3334673320408790;0,1;1;10;1;0;0,0;1,0;10;15;250;200;0,0600000000000000;0,01
179;179;1800;1,0000;0,98875000000000002;0,01125000000000000;0,5808695652173910;0,3458213285850770;0,1;1;10;1;0;0,0;1,0;10;15;450;200;0,0333333333333333;0,01
182;182;2300;1,0000;0,99500000000000000;0,00500000000000000;0,6735714285714290;0,2430243744171490;0,1;1;10;1;0;0,0;1,0;10;25;100;200;0,2500000000000000;0,01
185;185;1500;1,0000;0,98899999999999999;0,01100000000000000;0,7786538461538460;0,2290002519313360;0,1;1;10;1;0;0,0;1,0;10;25;150;200;0,1666666666666667;0,01
188;188;1200;1,0000;0,98699999999999999;0,01300000000000000;0,7691666666666670;0,1955929897697230;0,1;1;10;1;0;0,0;1,0;10;25;250;200;0,1000000000000000;0,01
191;191;1600;1,0000;0,99500000000000000;0,00500000000000000;0,6589583333333330;0,3140028356513700;0,1;1;10;1;0;0,0;1,0;10;25;450;200;0,0555555555555556;0,01
194;194;3100;1,0000;0,99750000000000005;0,00249999999999995;0,5092647058823530;0,2817938542486960;0,1;1;10;1;0;0,0;1,0;10;30;100;200;0,3000000000000000;0,01
197;197;1800;1,0000;0,98583333333333301;0,01416666666666670;0,7906000000000000;0,1735014409162070;0,1;1;10;1;0;0,0;1,0;10;30;150;200;0,2000000000000000;0,01
200;200;1300;1,0000;0,98875000000000002;0,01125000000000000;0,7341666666666670;0,2261522782135450;0,1;1;10;1;0;0,0;1,0;10;30;250;200;0,1200000000000000;0,01
203;203;1400;1,0000;0,98833333333333295;0,01166666666666670;0,7311904761904759;0,2582920089835570;0,1;1;10;1;0;0,0;1,0;10;30;450;200;0,0666666666666667;0,01
206;206;3100;1,0000;0,98777777777777798;0,01222222222222220;0,7324390243902440;0,1938560095509660;0,1;1;10;1;0;0,0;1,0;10;40;100;200;0,4000000000000000;0,01
209;209;2300;1,0000;0,98583333333333301;0,01416666666666670;0,7003333333333330;0,2371887555242160;0,1;1;10;1;0;0,0;1,0;10;40;150;200;0,2666666666666667;0,01
212;212;1900;1,0000;0,99299999999999999;0,00700000000000001;0,7482000000000000;0,1887231217065540;0,1;1;10;1;0;0,0;1,0;10;40;250;200;0,1600000000000000;0,01
215;215;1000;1,0000;0,99250000000000005;0,00750000000000006;0,8006666666666670;0,1952733127354240;0,1;1;10;1;0;0,0;1,0;10;40;450;200;0,0888888888888889;0,01
218;218;600;0,0000;0,00500000000000000;0,00500000000000000;0,1755555555555560;0,1933010030439000;0,1;1;10;1;0;0,2;0,0;10;5;100;200;0,0500000000000000;0,01
221;221;500;0,0000;0,01400000000000000;0,01400000000000000;0,1150000000000000;0,1537693077307690;0,1;1;10;1;0;0,2;0,0;10;5;150;200;0,0333333333333333;0,01
224;224;500;0,0000;0,00625000000000000;0,00625000000000000;0,1315000000000000;0,1735103263017310;0,1;1;10;1;0;0,2;0,0;10;5;250;200;0,0200000000000000;0,01
227;227;500;0,0000;0,01250000000000000;0,01250000000000000;0,1033333333333330;0,1428975051206180;0,1;1;10;1;0;0,2;0,0;10;5;450;200;0,0111111111111111;0,01
230;230;700;0,0000;0,01000000000000000;0,01000000000000000;0,1407692307692310;0,1669062380730340;0,1;1;10;1;0;0,2;0,0;10;10;100;200;0,1000000000000000;0,01
233;233;600;0,0000;0,01000000000000000;0,01000000000000000;0,1685000000000000;0,1833643913086730;0,1;1;10;1;0;0,2;0,0;10;10;150;200;0,0666666666666667;0,01
236;236;700;0,0000;0,00666666666666667;0,00666666666666667;0,1604545454545450;0,1654758977231210;0,1;1;10;1;0;0,2;0,0;10;10;250;200;0,0400000000000000;0,01
239;239;600;0,0000;0,01400000000000000;0,01400000000000000;0,1320833333333330;0,1697787106973680;0,1;1;10;1;0;0,2;0,0;10;10;450;200;0,0222222222222222;0,01
242;242;1200;0,0000;0,01625000000000000;0,01625000000000000;0,1952941176470590;0,1607450484096950;0,1;1;10;1;0;0,2;0,0;10;15;100;200;0,1500000000000000;0,01
245;245;1000;0,0000;0,01900000000000000;0,01900000000000000;0,1403125000000000;0,1314847107715060;0,1;1;10;1;0;0,2;0,0;10;15;150;200;0,1000000000000000;0,01
248;248;700;0,0000;0,01700000000000000;0,01700000000000000;0,1326923076923080;0,1527745531905240;0,1;1;10;1;0;0,2;0,0;10;15;250;200;0,0600000000000000;0,01
251;251;700;0,0000;0,02250000000000000;0,02250000000000000;0,1328571428571430;0,1508273884243210;0,1;1;10;1;0;0,2;0,0;10;15;450;200;0,0333333333333333;0,01
254;254;NA;0,5575;NA;0,00000000000000000;0,5212745098039220;0,0876233024785924;0,1;1;10;1;0;0,2;0,0;10;25;100;200;0,2500000000000000;0,01
257;257;1400;0,0000;0,00833333333333333;0,00833333333333333;0,2377777777777780;0,1811419838156070;0,1;1;10;1;0;0,2;0,0;10;25;150;200;0,1666666666666667;0,01
260;260;NA;0,5250;NA;0,00000000000000000;0,3697058823529410;0,1152970587860150;0,1;1;10;1;0;0,2;0,0;10;25;250;200;0,1000000000000000;0,01
263;263;1900;0,0000;0,01250000000000000;0,01250000000000000;0,1897916666666670;0,1546558533357680;0,1;1;10;1;0;0,2;0,0;10;25;450;200;0,0555555555555556;0,01
266;266;1300;0,0000;0,01636363636363640;0,01636363636363640;0,1314000000000000;0,1452477768045580;0,1;1;10;1;0;0,2;0,0;10;30;100;200;0,3000000000000000;0,01
269;269;2100;0,0000;0,01272727272727270;0,01272727272727270;0,1912121212121210;0,1681843775399040;0,1;1;10;1;0;0,2;0,0;10;30;150;200;0,2000000000000000;0,01
272;272;NA;0,4135;NA;0,00000000000000000;0,3809803921568630;0,1070701620800260;0,1;1;10;1;0;0,2;0,0;10;30;250;200;0,1200000000000000;0,01
275;275;800;0,0000;0,01312500000000000;0,01312500000000000;0,1091176470588240;0,1399691405064620;0,1;1;10;1;0;0,2;0,0;10;30;450;200;0,0666666666666667;0,01
